"filename", "language", "Markdown", "TypeScript", "C++", "Stylus", "Python", "JSON", "JavaScript", "Batch", "JSON with Comments", "YAML", "C", "Rust", "comment", "blank", "total"
"d:\Users\normalpcer\Documents\sync_code\20250314\T3\T3.cpp", "C++", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 8, 106
"d:\Users\normalpcer\Documents\sync_code\20250314\T4\T4.cpp", "C++", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 64
"d:\Users\normalpcer\Documents\sync_code\20250322\T1\T1.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 50
"d:\Users\normalpcer\Documents\sync_code\20250322\T2\T2.cpp", "C++", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 119
"d:\Users\normalpcer\Documents\sync_code\20250322\T3\T3.cpp", "C++", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 70
"d:\Users\normalpcer\Documents\sync_code\20250322\T4\T4.cpp", "C++", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 65
"d:\Users\normalpcer\Documents\sync_code\20250322\template.cpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\Users\normalpcer\Documents\sync_code\3.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Users\normalpcer\Documents\sync_code\3.py", "Python", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 11, 2, 55
"d:\Users\normalpcer\Documents\sync_code\3.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 85
"d:\Users\normalpcer\Documents\sync_code\4.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Users\normalpcer\Documents\sync_code\4.py", "Python", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"d:\Users\normalpcer\Documents\sync_code\4.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Users\normalpcer\Documents\sync_code\5.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\Users\normalpcer\Documents\sync_code\5.py", "Python", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\Users\normalpcer\Documents\sync_code\5.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 9, 111
"d:\Users\normalpcer\Documents\sync_code\6.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11
"d:\Users\normalpcer\Documents\sync_code\6.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 1, 14
"d:\Users\normalpcer\Documents\sync_code\6.ts", "TypeScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 171
"d:\Users\normalpcer\Documents\sync_code\7.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\Users\normalpcer\Documents\sync_code\7.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Users\normalpcer\Documents\sync_code\7.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 71
"d:\Users\normalpcer\Documents\sync_code\8.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Users\normalpcer\Documents\sync_code\9.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
